code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
,Mozzarella Traditional [6x2kg],74,0.0,5.0,97.0,97.0,485.0,485.0,5.0,97.0,97.0,485.0,485.0,ALESS,,
,Cream Thickened Caterers 5lt,74,0.0,1.0,16.9,16.9,16.9,16.9,1.0,16.9,16.9,16.9,16.9,D/FAR,,
,Semi Dried Tomato 5kg,74,0.0,1.0,43.75,43.75,43.75,43.75,1.0,43.75,43.75,43.75,43.75,GLOBL,,
,Prawn Meat 31/40 GARLIC 1kg,74,0.0,2.0,19.755,19.755,39.51,39.51,2.0,19.755,19.755,39.51,39.51,NEPTU,,
,Pomace Olive Oil 4lt,75,0.0,1.0,17.0,17.0,17.0,17.0,1.0,17.0,17.0,17.0,17.0,ANTO,,
,"Tomatoes Crushed ""BULK"" 10kg",75,0.0,3.0,18.447,18.447,55.34,55.34,3.0,18.447,18.447,55.34,55.34,FIAMA,,
,Fire Roast Pepper STRIP 4.2kg,75,0.0,2.0,13.9,13.9,27.8,27.8,2.0,13.9,13.9,27.8,27.8,NESTO,,
,"BROWN Pizza Box 100x12""",75,10.0,1.0,30.0,33.0,30.0,33.0,1.0,30.0,33.0,30.0,33.0,PERFE,,
,"Pizza InsertIO"" Cardboard 100s",75,10.0,5.0,9.38,10.318,46.9,51.59,5.0,9.38,10.318,46.9,51.59,FIRST,,
,Mozzarella Traditional [6x2kg],75,0.0,7.0,97.0,97.0,679.0,679.0,7.0,97.0,97.0,679.0,679.0,ALESS,,
,Cream Thickened Caterers 5lt,75,0.0,3.0,16.9,16.9,50.7,50.7,3.0,16.9,16.9,50.7,50.7,D/FAR,,
,Eggs Large [600gx15doz],75,0.0,1.0,39.5,39.5,39.5,39.5,1.0,39.5,39.5,39.5,39.5,PACE,,
,Gnocchi Potato Precooked 1kg,75,0.0,3.0,6.95,6.95,20.85,20.85,3.0,6.95,6.95,20.85,20.85,ZINI,,
,Prawn Meat 31/40 GARLIC 1kg,75,0.0,4.0,19.7525,19.7525,79.01,79.01,4.0,19.7525,19.7525,79.01,79.01,NEPTU,,
,Pomace Olive Oil 4lt,76,0.0,1.0,17.0,17.0,17.0,17.0,1.0,17.0,17.0,17.0,17.0,ANTO,,
,Fire Roast Pepper STRIP 4.2kg,76,0.0,2.0,13.9,13.9,27.8,27.8,2.0,13.9,13.9,27.8,27.8,NESTO,,
,BBQ Sauce 3lt,76,0.0,1.0,8.15,8.15,8.15,8.15,1.0,8.15,8.15,8.15,8.15,SUNSH,,
,"BROWN Pizza Box 100x12""",76,10.0,1.0,30.0,33.0,30.0,33.0,1.0,30.0,33.0,30.0,33.0,PERFE,,
,"BROWN Pizza Box 50x15""",76,10.0,4.0,25.0,27.5,100.0,110.0,4.0,25.0,27.5,100.0,110.0,PERFE,,
,"Pizza InsertIO"" Cardboard 100s",76,10.0,4.0,9.3795,10.3175,37.5182,41.27,4.0,9.3795,10.3175,37.5182,41.27,FIRST,,
,Mozzarella Traditional [6x2kg],76,0.0,4.0,97.0,97.0,388.0,388.0,4.0,97.0,97.0,388.0,388.0,ALESS,,
,Cream Thickened Caterers 5lt,76,0.0,3.0,16.9,16.9,50.7,50.7,3.0,16.9,16.9,50.7,50.7,D/FAR,,
,Eggs Large [600gx15doz],76,0.0,1.0,39.5,39.5,39.5,39.5,1.0,39.5,39.5,39.5,39.5,PACE,,
,Pomace Olive Oil 4lt,77,0.0,1.0,17.0,17.0,17.0,17.0,1.0,17.0,17.0,17.0,17.0,ANTO,,
,Fire Roast Pepper STRIP 4.2kg,77,0.0,2.0,13.9,13.9,27.8,27.8,2.0,13.9,13.9,27.8,27.8,NESTO,,
,Pine Nuts 1kg,77,0.0,1.0,40.95,40.95,40.95,40.95,1.0,40.95,40.95,40.95,40.95,GLOBL,,
,"BROWN Pizza Box 100x12""",77,10.0,2.0,30.0,33.0,60.0,66.0,2.0,30.0,33.0,60.0,66.0,PERFE,,
,"Pizza InsertIO"" CardboarcHOOs",77,10.0,5.0,9.38,10.318,46.9,51.59,5.0,9.38,10.318,46.9,51.59,FIRST,,
,Mozzarella Traditional [6x2kg],77,0.0,4.0,97.0,97.0,388.0,388.0,4.0,97.0,97.0,388.0,388.0,ALESS,,
,Cream Thickened Caterers 5lt,77,0.0,3.0,16.9,16.9,50.7,50.7,3.0,16.9,16.9,50.7,50.7,D/FAR,,
,Prawn Meat 31/40 GARLIC 1kg,77,0.0,2.0,19.755,19.755,39.51,39.51,2.0,19.755,19.755,39.51,39.51,NEPTU,,
,"Tomatoes Crushed ""BULK"" 10kg",78,0.0,3.0,14.0,14.0,42.0,42.0,3.0,14.0,14.0,42.0,42.0,ANTO,,
,Fire Roast Pepper STRIP 4.2kg,78,0.0,1.0,13.9,13.9,13.9,13.9,1.0,13.9,13.9,13.9,13.9,NESTO,,
,"BROWN Pizza Box 100x12""",78,10.0,1.0,30.0,33.0,30.0,33.0,1.0,30.0,33.0,30.0,33.0,PERFE,,
,Mozzarella Traditional [6x2kg],78,0.0,5.0,97.0,97.0,485.0,485.0,5.0,97.0,97.0,485.0,485.0,ALESS,,
,Cream Sour Lite 2lt,78,0.0,1.0,12.16,12.16,12.16,12.16,1.0,12.16,12.16,12.16,12.16,D/FAR,,
,Cream Thickened Caterers 5lt,78,0.0,1.0,16.9,16.9,16.9,16.9,1.0,16.9,16.9,16.9,16.9,D/FAR,,
,Anchovie Tin Oil 720g [Italy],78,0.0,1.0,13.95,13.95,13.95,13.95,1.0,13.95,13.95,13.95,13.95,ALPI,,
,Prawn Meat 31/40 GARLIC 1kg,78,0.0,3.0,19.753,19.753,59.26,59.26,3.0,19.753,19.753,59.26,59.26,NEPTU,,
,Kalamata Sliced 10kg,79,0.0,1.0,62.02,62.02,62.02,62.02,1.0,62.02,62.02,62.02,62.02,GLOBL,,
,"Pizza InsertIO"" Cardboard 100s",79,10.0,3.0,9.3791,10.317,28.1364,30.95,3.0,9.3791,10.317,28.1364,30.95,FIRST,,
,Mozzarella Traditional [6x2kg],79,0.0,4.0,97.0,97.0,388.0,388.0,4.0,97.0,97.0,388.0,388.0,ALESS,,
,Cream Thickened Caterers 5lt,79,0.0,1.0,16.9,16.9,16.9,16.9,1.0,16.9,16.9,16.9,16.9,D/FAR,,
,Prawn Meat 31/40 GARLIC 1kg,79,0.0,2.0,19.755,19.755,39.51,39.51,2.0,19.755,19.755,39.51,39.51,NEPTU,,
,Pomace Olive Oil 4lt,80,0.0,1.0,17.0,17.0,17.0,17.0,1.0,17.0,17.0,17.0,17.0,ANTO,,
,"Tomatoes Crushed ""BULK"" 10kg",80,0.0,3.0,14.0,14.0,42.0,42.0,3.0,14.0,14.0,42.0,42.0,ANTO,,
,Fire Roast Pepper STRIP 4.2kg,80,0.0,2.0,13.9,13.9,27.8,27.8,2.0,13.9,13.9,27.8,27.8,NESTO,,
,BBQ Sauce 3lt,80,0.0,3.0,8.15,8.15,24.45,24.45,3.0,8.15,8.15,24.45,24.45,SUNSH,,
,"BROWN Pizza Box 100x12""",80,10.0,1.0,30.0,33.0,30.0,33.0,1.0,30.0,33.0,30.0,33.0,PERFE,,
,Mozzarella Traditional [6x2kg],80,0.0,2.0,97.0,97.0,194.0,194.0,2.0,97.0,97.0,194.0,194.0,ALESS,,
,Ginger Crushed 2kg,80,0.0,1.0,20.41,20.41,20.41,20.41,1.0,20.41,20.41,20.41,20.41,GOLD,,
,Primo Ham Shredded (Julienne) 2kg,81,0.0,14.0,12.5,12.5,175.0,175.0,14.0,12.5,12.5,175.0,175.0,,,
,Primo Sliced Pepperoni (40mm) 2kg,81,0.0,4.0,25.0,25.0,100.0,100.0,4.0,25.0,25.0,100.0,100.0,,,
,Thin Sliced Hungarian Salami 1.5kg,81,0.0,3.0,19.0,19.0,57.0,57.0,3.0,19.0,19.0,57.0,57.0,,,
,Real Shredded Parmesan 2kg,81,0.0,2.0,26.0,26.0,52.0,52.0,2.0,26.0,26.0,52.0,52.0,,,
,Zammit Diced Bacon 3kg,81,0.0,11.0,17.8,17.8,195.8,195.8,11.0,17.8,17.8,195.8,195.8,,,
,WV 100% Basil Pesto 2kg,81,0.0,1.0,23.5,23.5,23.5,23.5,1.0,23.5,23.5,23.5,23.5,,,
,Primo Ham Shredded (Julienne) 2kg,82,0.0,18.0,12.5,12.5,225.0,225.0,18.0,12.5,12.5,225.0,225.0,,,
,Primo Sliced Pepperoni (40mm) 2kg,82,0.0,3.0,25.0,25.0,75.0,75.0,3.0,25.0,25.0,75.0,75.0,,,
,Thin Sliced Hungarian Salami 1.5kg,82,0.0,4.0,19.0,19.0,76.0,76.0,4.0,19.0,19.0,76.0,76.0,,,
,Real Shredded Parmesan 2kg,82,0.0,2.0,26.0,26.0,52.0,52.0,2.0,26.0,26.0,52.0,52.0,,,
,Zammit Diced Bacon 3kg,82,0.0,11.0,17.8,17.8,195.8,195.8,11.0,17.8,17.8,195.8,195.8,,,
,Caesar Dressing 1kg,82,0.0,1.0,7.5,7.5,7.5,7.5,1.0,7.5,7.5,7.5,7.5,,,
,Zammit Diced Bacon 3kg,83,0.0,10.0,17.5,17.5,175.0,175.0,10.0,17.5,17.5,175.0,175.0,,,
,Primo Ham Shredded (Julienne) 2kg,83,0.0,16.0,12.5,12.5,200.0,200.0,16.0,12.5,12.5,200.0,200.0,,,
,Real Shredded Parmesan 2kg,83,0.0,2.0,26.0,26.0,52.0,52.0,2.0,26.0,26.0,52.0,52.0,,,
,Primo Sliced Pepperoni (40mm) 2kg,83,0.0,4.0,25.0,25.0,100.0,100.0,4.0,25.0,25.0,100.0,100.0,,,
,Thin Sliced Hungarian Salami 1.5kg,83,0.0,4.0,19.0,19.0,76.0,76.0,4.0,19.0,19.0,76.0,76.0,,,
,WV 100% Basil Pesto 2kg,83,0.0,2.0,23.5,23.5,47.0,47.0,2.0,23.5,23.5,47.0,47.0,,,
,Capers in Vinegar 2kg,83,0.0,1.0,13.8,13.8,13.8,13.8,1.0,13.8,13.8,13.8,13.8,,,
,Zammit Shredded Pizza Topping 3kg,83,0.0,3.0,18.0,18.0,54.0,54.0,3.0,18.0,18.0,54.0,54.0,,,
,Primo Sliced Pepperoni (40mm) 2kg,84,0.0,3.0,25.0,25.0,75.0,75.0,3.0,25.0,25.0,75.0,75.0,,,
,Thin Sliced Hungarian Salami 1.5kg,84,0.0,1.0,19.0,19.0,19.0,19.0,1.0,19.0,19.0,19.0,19.0,,,
,Real Shredded Parmesan 2kg,84,0.0,2.0,26.0,26.0,52.0,52.0,2.0,26.0,26.0,52.0,52.0,,,
,Zammit Diced Bacon 3kg,84,0.0,10.0,17.5,17.5,175.0,175.0,10.0,17.5,17.5,175.0,175.0,,,
,Primo Sliced Pepperoni (40mm) 2kg,85,0.0,4.0,25.0,25.0,100.0,100.0,4.0,25.0,25.0,100.0,100.0,,,
,Thin Sliced Hungarian Salami 1.5kg,85,0.0,5.0,19.0,19.0,95.0,95.0,5.0,19.0,19.0,95.0,95.0,,,
,Real Shredded Parmesan 2kg,85,0.0,2.0,26.0,26.0,52.0,52.0,2.0,26.0,26.0,52.0,52.0,,,
