code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
159264,Scalloped Potato,46,0.0,16.0,13.71,13.71,219.36,219.36,15,20.7479584155,20.7479584155,311.219376233,311.219376233,,,
14658,Sugar Brown,46,0.0,0.6,3.32,3.32,1.992,1.992,0.6,4.59287726657,4.59287726657,2.75572635994,2.75572635994,,,
3,Insect Repellent,46,10.0,3.0,7.26,7.986,21.78,23.958,2,7.26,7.986,14.52,15.972,,,
70323,Sho-bowl 710ml 24oz Dome Lid Clear,46,10.0,1.5,18.38,20.218,27.57,30.326999999999998,0.5,18.38,20.218,9.19,10.109,,,
104699,Creme Caramel P/c,46,0.0,3.0,67.28,67.28,201.84,201.84,3,129.619517321,129.619517321,388.858551964,388.858551964,,,
156454,Cooking Wine Shao Hsing 16% Alcohol,46,0.0,1.4,63.21,63.21,88.494,88.494,0.4,63.21,63.21,25.284,25.284,,,
156792,Cheese Slices Swiss,46,0.0,2.0,17.16,17.16,34.32,34.32,2,17.16,17.16,34.32,34.32,,,
121352,Saveloys Battered,46,0.0,1.0,33.42,33.42,33.42,33.42,1,35.4215039879,35.4215039879,35.4215039879,35.4215039879,,,
13344,Muffins Petite Banana Nut,47,10.0,1.2,13.44,14.784,16.128,17.7408,1.2,13.44,14.784,16.128,17.7408,,20 X 25gr,
67216,Pie Lemon Meringue,47,10.0,4.0,44.15,48.565,176.6,194.26,4,44.15,48.565,176.6,194.26,,1.7 Kg,
106996,Oats Rolled ,47,0.0,1.0,48.5,48.5,48.5,48.5,1,48.5,48.5,48.5,48.5,,15 Kg,
151738,Lemongrass,48,0.0,10.0,10.22,10.22,102.2,102.2,10,10.22,10.22,102.2,102.2,,,
27700,Olives Green Queen Pitted,48,0.0,3.0,23.63,23.63,70.89,70.89,3,23.63,23.63,70.89,70.89,,,
46217,Olives Black Pitted,48,0.0,1.4,3.87,3.87,5.418,5.418,0.4,3.87,3.87,1.548,1.548,,,
148712,Beetroot Sliced,48,0.0,1.0,11.27,11.27,11.27,11.27,1,11.27,11.27,11.27,11.27,,,
385,Cheese Bocconcini,48,0.0,1.2,20.55,20.55,24.66,24.66,1.2,20.55,20.55,24.66,24.66,,,
147198,"Pizza Boxes 9"" Single Fold White E-flute",48,10.0,3.0,33.31,36.641,99.93,109.923,2,33.31,36.641,66.62,73.282,,,
142063,Puree Ginger,48,0.0,2.0,15.88,15.88,31.76,31.76,2,15.88,15.88,31.76,31.76,,,
3016,Patty Pans White Muffin S-700,48,10.0,0.6,38.27,42.097,22.962,25.2582,0.6,38.27,42.097,22.962,25.2582,,,
4915,Tuna In Water Nas,48,0.0,2.0,4.97,4.97,9.94,9.94,2,4.97,4.97,9.94,9.94,,,
15814,Cordial Lime 25% Juice,48,10.0,1.6,3.92,4.312,6.272,6.8992,1.6,3.92,4.312,6.272,6.8992,,,
105559,Bread Pita,48,0.0,0.3,5.42,5.42,1.626,1.626,0.3,5.42,5.42,1.626,1.626,,,
128023,Beef Rump Msa 5kg Up Iw/vac (app 20kg Ctn),48,0.0,1.0,16.52,16.52,16.52,16.52,1,16.52,16.52,16.52,16.52,,,
103664,Milk Powder Skim,48,0.0,2.2,196.1,196.1,431.42,431.42,1.2,196.1,196.1,235.32,235.32,,,
150319,Crab Meat Blue Swimmer Claw,48,0.0,1.6,23.39,23.39,37.424,37.424,1.6,23.39,23.39,37.424,37.424,,,
108330,Butter P/c Dairy Soft,48,0.0,10.0,23.82,23.82,238.2,238.2,10,23.82,23.82,238.2,238.2,,,
147240,Pepperoni Sliced,48,0.0,2.0,184.72,184.72,369.44,369.44,1,184.72,184.72,184.72,184.72,,,
75319,Fish Cakes ,48,0.0,4.0,23.75,23.75,95.0,95.0,4,23.75,23.75,95.0,95.0,,,
147169,Pork Pulled,48,0.0,15.0,105.27,105.27,1579.05,1579.05,15,105.27,105.27,1579.05,1579.05,,,
151737,Ginger 400 Gr,48,0.0,4.0,7.55,7.55,30.2,30.2,3,7.55,7.55,22.65,22.65,,,
156745,Smoothie Banana & Oat,49,10.0,1.5,34.94,38.434,52.41,57.651,1.5,34.94,38.434,52.41,57.651,,,
124253,Container Foil #7419 1183ml 40oz Oblong Medium,49,10.0,1.7,9.17,10.087,15.589,17.1479,1.7,9.17,10.087,15.589,17.1479,,,
161729,Container Tray Base Medium,49,10.0,2.0,82.19,90.409,164.38,180.818,2,153.128865992,168.441752592,306.257731985,336.883505183,,,
150234,Foodtrays No 6 White Rediserve 290 X 230 X 52mm,49,10.0,15.0,45.25,49.775,678.75,746.625,15,45.25,49.775,678.75,746.625,,,
145319,Ham Leg Champagne Sliced,49,0.0,3.0,17.97,17.97,53.91,53.91,3,17.97,17.97,53.91,53.91,,,
124873,Sauce Roux White,49,0.0,1.0,78.5,78.5,78.5,78.5,1,156.691128124,156.691128124,156.691128124,156.691128124,,,
138147,Beans Soy,49,0.0,1.4,2.68,2.68,3.752,3.752,0.4,4.80539790073,4.80539790073,1.92215916029,1.92215916029,,,
45,Biscuits Cream Assorted,49,10.0,3.0,35.88,39.468,107.64,118.404,3,48.7296342813,53.6025977094,146.188902844,160.807793128,,,
3491,Coffee P/c Instant Sticks,49,0.0,1.0,101.12,101.12,101.12,101.12,1,101.12,101.12,101.12,101.12,,,
153665,Two Fruits Natural Juice South African,49,0.0,2.0,12.87,12.87,25.74,25.74,2,13.8103485721,13.8103485721,27.6206971442,27.6206971442,,,
51429,"Foodtrays Foam 14 X 11"" Black",49,10.0,1.0,50.69,55.759,50.69,55.759,1,53.2345493958,58.5580043354,53.2345493958,58.5580043354,,,
138681,Wonton Pork,49,0.0,1.0,10.11,10.11,10.11,10.11,1,14.9274962238,14.9274962238,14.9274962238,14.9274962238,,,
159781,Scallop Roe Off 80/120,49,0.0,1.0,18.68,18.68,18.68,18.68,1,18.68,18.68,18.68,18.68,,,
158622,Syrup White Chocolate Coffee,49,10.0,2.5,7.71,8.481,19.275,21.2025,2.5,7.71,8.481,19.275,21.2025,,,
72458,Noodles Rice Stick Large (flat),49,0.0,4.0,2.37,2.37,9.48,9.48,4,2.37,2.37,9.48,9.48,,,
152841,Tea Iced Green Lychee,50,10.0,2.0,16.73,18.403,33.46,36.806,2,16.73,18.403,33.46,36.806,,,
